dataset_of_00s_track,dataset_of_00s_artist,dataset_of_00s_uri,dataset_of_00s_danceability,dataset_of_00s_energy,dataset_of_00s_key,dataset_of_00s_loudness,dataset_of_00s_mode,dataset_of_00s_speechiness,dataset_of_00s_acousticness,dataset_of_00s_instrumentalness,dataset_of_00s_liveness,dataset_of_00s_valence,dataset_of_00s_tempo,dataset_of_00s_duration_ms,dataset_of_00s_time_signature,dataset_of_00s_chorus_hit,dataset_of_00s_sections,dataset_of_00s_target,dataset_of_00s_id_ano
"""Collage #1 (""""Blue Suede"""")""",James Tenney,spotify:track:70klYxQLBSSonN3KrbNU0l,"0,31","0,707",11,"-12,054",1,"0,509","0,912","0,0562","0,108","0,37","56,028",206067,4,"17,18683",9,0,1
"""Deus Passus. """"St. Luke Passion"""": Das ist mein Leib (Soprano. Mezzo-Soprano. Alto. Tenor. Bass)""",Wolfgang Rihm,spotify:track:2O7HKUweyR9yP9pOSdAD1p,"0,194","0,00511",0,"-43,178",0,"0,047","0,945","0,00193","0,0769","0,0321","84,79",188000,4,"48,25093",12,0,1
"""I Won't Say (I'm In Love) - From """"Hercules"""" / Soundtrack Version""",Susan Egan,spotify:track:3Dupb5AcaVFErlSSfl3szW,"0,684","0,471",0,"-9,43",1,"0,043","0,208",0,"0,14","0,453","121,081",140093,4,"28,03726",8,0,1
"""Look On The Bright Side Of Life (All Things Dull And Ugly) - From """"Life Of Brian"""" Original Motion Picture Soundtrack""",Monty Python,spotify:track:4yEoBe0b9paEGQrUIGxBCb,"0,691","0,528",7,"-9,333",1,"0,194","0,624","0,00226","0,127","0,693","120,776",238293,4,"42,37658",9,0,1
"""Now We Are Free - From """"Gladiator"""" Soundtrack""",Lisa Gerrard,spotify:track:1raWfcURBd1Q3W3K0ojDCM,"0,286","0,217",9,"-18,805",1,"0,0336","0,602","0,099","0,104","0,0389","138,225",254307,4,"88,57076",12,0,1
"""O Ajnabi (Happy) - From """"Main Prem Ki Diwani Hoon""""""",K. S. Chithra,spotify:track:5ReciHbAhKfDmK5l5SwYxs,"0,581","0,462",5,"-12,403",1,"0,0422","0,522","1,03E-05","0,081","0,364","136,067",402133,4,"25,92088",17,0,1
"""Symphonie Fantastique. Op. 14. """"Episode de la vie d'un artiste"""": V. Songe d'une nuit du sabbat (Dream of a Witches' Sabbath)""",Hector Berlioz,spotify:track:5CZ2IN503H4bhHG43uHNr3,"0,252","0,216",7,"-18,824",0,"0,0456","0,938","0,875","0,562","0,138","86,767",622053,4,"32,25469",31,0,1
"""Symphony No. 8 in B Minor. D. 759. """"Unfinished"""": I. Allegro moderato""",Franz Schubert,spotify:track:5VNiNarIW6OOx2UvRIQv4C,"0,128","0,045",11,"-17,723",0,"0,0385","0,942","0,894","0,115","0,0395","85,907",687067,4,"72,51274",34,0,1
"""The Breaking of the Fellowship (feat. """"In Dreams"""")""",Howard Shore,spotify:track:1ykbtFnlIjmIFnZ8j6wg6i,"0,131","0,137",2,"-20,553",1,"0,0387","0,934","0,485","0,087","0,0465","78,577",440800,4,"27,56481",20,0,1
#1,Nelly,spotify:track:3ZF8KuD7XlQSc3dpbCUTHO,"0,692","0,588",7,"-6,086",1,"0,306","0,0173",0,"0,634","0,45","180,027",198667,4,"40,55604",9,1,1
(David Bowie I Love You) Since I Was Six,The Brian Jonestown Massacre,spotify:track:5FQ1ZPkIyYss4XhhDBvnC5,"0,201","0,647",10,"-6,842",1,"0,0363","0,000926","7,9E-05","0,176","0,32","115,609",203933,4,"47,42454",9,0,1
(Do Not Feed The) Oyster,Stephen Malkmus,spotify:track:6rSQtxF6vhbPhiLXhJRKzp,"0,451","0,498",2,"-8,535",1,"0,0273","0,0723","0,185","0,0922","0,266","87,373",289227,4,"32,18392",11,0,1
(If You're Wondering If I Want You To) I Want You To,Weezer,spotify:track:09aDV0TC2RfWFU5IwZfIdG,"0,695","0,873",11,"-5,722",0,"0,0392","0,00163","0,000198","0,154","0,799","110,021",208773,4,"49,23985",8,1,1
(I'm Not Your) Steppin' Stone,Sky Saxon,spotify:track:62KqOyV9pTxFQykbTYdJ1U,"0,49","0,83",2,"-4,434",1,"0,031","0,022",0,"0,106","0,67","130,073",190693,4,"38,35158",9,0,1
