dataset_of_80s_track,dataset_of_80s_artist,dataset_of_80s_uri,dataset_of_80s_danceability,dataset_of_80s_energy,dataset_of_80s_key,dataset_of_80s_loudness,dataset_of_80s_mode,dataset_of_80s_speechiness,dataset_of_80s_acousticness,dataset_of_80s_instrumentalness,dataset_of_80s_liveness,dataset_of_80s_valence,dataset_of_80s_tempo,dataset_of_80s_duration_ms,dataset_of_80s_time_signature,dataset_of_80s_chorus_hit,dataset_of_80s_sections,dataset_of_80s_target,dataset_of_80s_id_ano
"""Overture (The Big Race) - From """"Pee Wee's Big Adventure""""""",Danny Elfman,spotify:track:1P9PYvV5kuZ9dAACp3qSQm,"0,297","0,219",1,"-14,216",1,"0,0335","0,959","0,765","0,108","0,0483","133,757",188267,3,"16,80054",10,0,5
"""Rapper's Delight - 7"""" Single Version""",The Sugarhill Gang,spotify:track:1FnxNtKli7rcB9IU4J8MEg,"0,905","0,692",2,"-14,143",1,"0,199","0,22",0,"0,128","0,943","111,292",305413,4,"35,37898",15,0,5
"""Surrender To Me (From """"Tequila Sunrise"""")""",Ann Wilson & Robin Zander,spotify:track:0Mqlf5OTGoeUgoeqL1Mzew,"0,37","0,683",11,"-5,702",0,"0,036","0,452","8,11E-06","0,167","0,118","148,052",244733,4,"40,02333",15,1,5
"""Symphonie """"Mathis der Maler"""": 1. Engelkonzert""",Paul Hindemith,spotify:track:4QK6arNqmckObVn9K6Dy28,"0,254","0,0807",2,"-21,713",1,"0,0428","0,906","0,918","0,36","0,0471","112,522",504627,4,"50,94702",22,0,5
(Angel On My Mind) That's Why I'm Walkin',Ricky Skaggs,spotify:track:0JzR2gHF0M5Gu6YNirud9R,"0,589","0,45",4,"-9,38",1,"0,0249","0,2","0,00025","0,216","0,459","99,95",180933,4,"37,53809",9,0,5
(Baby Tell Me) Can You Dance,Shanice Wilson,spotify:track:0wLLY7tGYpv5hNDBlGzF1B,"0,765","0,896",7,"-7,895",1,"0,112","0,103","0,000256","0,362","0,594","111,191",289373,4,"21,89432",15,1,5
(Between A) Rock And A Hard Place,Cutting Crew,spotify:track:2KxYID9maMVJaGnvGu6Iso,"0,615","0,845",5,"-9,943",0,"0,0393","0,0928","2,77E-05","0,0755","0,585","117,444",227960,4,"27,45929",13,1,5
(Keep Feeling) Fascination,The Human League,spotify:track:0ZfZaT7NByalxa6bct5G67,"0,711","0,609",0,"-9,042",1,"0,0764","0,381","1,24E-06","0,204","0,674","118,132",224733,4,"25,33809",13,1,5
(oh) Pretty Woman,Van Halen,spotify:track:7ptv3yXdBWwzO7rVA62rwy,"0,441","0,97",1,"-2,1",0,"0,0708","0,192","1,68E-06","0,312","0,5","128,289",172671,4,"41,51318",8,1,5
(Sittin' On) The Dock Of The Bay,The Reddings,spotify:track:1dnyOQ9DMv3KrtqyLTE4dy,"0,724","0,585",7,"-6,739",1,"0,03","0,0582","0,00285","0,104","0,471","104,761",185733,4,"31,22157",8,1,5
(you're So Square) Baby. I Don't Care,Joni Mitchell,spotify:track:7aQQEpqjYvWCpFmFfMytDg,"0,39","0,618",7,"-12,351",1,"0,0405","0,181","0,00192","0,272","0,615","171,767",158000,4,"23,08798",10,1,5
¿Hasta Cuando?,Beatriz Adriana,spotify:track:1lQbMmx22ZRWGDYT9iYnqW,"0,633","0,481",4,"-5,835",0,"0,0245","0,195","0,000778","0,349","0,57","106,841",202240,4,"62,33548",8,0,5
¿Qué Es Lo Que Será?,Carlos Cano,spotify:track:1khxyqPjdOMLoHKZ4HSlKW,"0,684","0,409",0,"-10,571",0,"0,0349","0,81","1,99E-06","0,0807","0,502","120,105",193733,4,"57,75892",10,0,5
1928,Ludwig Hirsch,spotify:track:2BTGUNj4bI1esubNCypXb9,"0,43","0,171",0,"-22,956",1,"0,102","0,634","7,7E-05","0,0769","0,242","135,865",353200,5,"48,50701",14,0,5
1982,Randy Travis,spotify:track:31lfvDUMzQ3siXemj9G5xV,"0,614","0,53",9,"-8,129",1,"0,0254","0,0986","1,9E-06","0,09","0,58","108,051",179307,4,"62,623",8,0,5
50: 50,Sad Lovers & Giants,spotify:track:4FRek66PBSH1YU8UbMWa3R,"0,283","0,578",0,"-12,259",1,"0,0382","0,000249","0,83","0,0981","0,796","172,763",222493,4,"58,54304",12,0,5
853-5937,Squeeze,spotify:track:4fgdmao6qyUZRE1M2HapES,"0,711","0,421",2,"-13,222",1,"0,0264","0,548",0,"0,268","0,803","103,934",197173,4,"40,01009",10,1,5
9 To 5,Dolly Parton,spotify:track:4w3tQBXhn5345eUXDGBWZG,"0,554","0,783",6,"-5,852",1,"0,0457","0,416","1,54E-06","0,631","0,813","105,39",162467,4,"25,12092",7,1,5
